Id,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Roof Style,Mas Vnr Type,Mas Vnr Area,Exter Cond,Bsmt Qual,Bsmt Exposure,Total Bsmt SF,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Fence,Misc Val,Mo Sold,Yr Sold,SalePrice,ridge_residual,enet_residual,MoYr Sold,is Pool,Lot Ratio,Bsmt GLQ,is Fireplace,Sum Bath,Garage Ratio,is Shed,is PUD,Cond Feeder,Cond Artery,Cond Pos,Cond RR,Porch SF,is Remodeled,Last Remodel
109,RL,69.05520046484602,13517,1,None,1,Lvl,AllPub,CulDSac,0,Sawyer,1Fam,2Story,6,8,1976,Gable,BrkFace,289.0,2,3,1,725.0,4,1,4,725,754,0,1479,3,1,Gd,6,Typ,0,NA,Attchd,RFn,2.0,475.0,TA,TA,Y,0,0,3,2010,130500,,,2010.25,0,2.3089553053707177,1,0,2.5,237.5,0,0,0,0,0,1,44,1,5
544,RL,43.0,11492,1,None,1,Lvl,AllPub,CulDSac,0,SawyerW,1Fam,2Story,7,5,1996,Gable,BrkFace,132.0,2,4,1,913.0,4,1,4,913,1209,0,2122,4,1,Gd,8,Typ,1,TA,Attchd,RFn,2.0,559.0,TA,TA,Y,0,0,4,2009,220000,-5013.417617106374,7680.371130658197,2009.3333333333333,0,6.215251487290427,1,1,3.5,279.5,0,0,0,0,0,0,74,1,12
153,RL,68.0,7922,1,None,0,Lvl,AllPub,Inside,0,NAmes,1Fam,1Story,5,7,1953,Gable,None,0.0,3,3,1,1057.0,2,1,4,1057,0,0,1057,3,1,Gd,5,Typ,0,NA,Detchd,Unf,1.0,246.0,TA,TA,Y,0,0,1,2010,109000,,,2010.0833333333333,0,1.713235294117647,1,0,2.0,246.0,0,0,0,0,0,0,52,1,3
318,RL,73.0,9802,1,None,0,Lvl,AllPub,Inside,0,Timber,1Fam,2Story,5,5,2006,Gable,None,0.0,2,4,1,384.0,3,1,4,744,700,0,1444,3,1,TA,7,Typ,0,NA,BuiltIn,Fin,2.0,400.0,TA,TA,Y,0,0,4,2010,174000,-35594.520477018465,39000.803102476144,2010.3333333333333,0,1.8393694877087634,0,0,2.5,200.0,0,0,0,0,0,0,100,1,3
255,RL,82.0,14235,1,None,1,Lvl,AllPub,Inside,0,SawyerW,1Fam,1.5Fin,6,8,1900,Gable,None,0.0,2,2,1,676.0,2,1,4,831,614,0,1445,3,1,TA,6,Typ,0,NA,Detchd,Unf,2.0,484.0,TA,TA,N,0,0,3,2010,138500,,,2010.25,0,2.117043426531826,0,0,2.0,242.0,0,0,0,0,0,0,59,1,17
138,RL,137.0,16492,1,None,1,Lvl,AllPub,Corner,0,NAmes,1Fam,1Story,6,6,1966,Gable,None,0.0,2,3,1,1517.0,4,1,4,1888,0,0,1888,2,1,Gd,6,Mod,1,Gd,Attchd,Fin,2.0,578.0,TA,TA,Y,0,0,6,2010,190000,-13295.813324362098,12014.660622297466,2010.5,0,0.8786829346262454,0,1,2.5,289.0,0,0,0,0,1,0,0,1,8
2827,RM,35.0,3675,1,None,0,Lvl,AllPub,Inside,0,Edwards,TwnhsE,SFoyer,6,5,2005,Gable,BrkFace,82.0,2,4,4,547.0,3,1,4,1072,0,0,1072,2,1,TA,5,Typ,0,NA,Basment,Fin,2.0,525.0,TA,TA,Y,0,0,6,2006,140000,,,2006.5,0,3.0,1,0,3.0,262.5,0,1,0,0,0,0,44,1,0
145,RL,69.05520046484602,12160,1,None,1,Lvl,AllPub,Inside,0,NAmes,1Fam,1Story,5,5,1959,Hip,BrkFace,180.0,2,3,1,1188.0,1,1,4,1188,0,0,1188,3,1,TA,6,Typ,0,NA,Attchd,RFn,2.0,531.0,TA,TA,Y,3,0,5,2010,142000,,,2010.4166666666667,0,2.3089553053707177,0,0,2.0,265.5,0,0,0,0,0,0,0,0,51
1942,RL,69.05520046484602,15783,1,None,0,Lvl,AllPub,Inside,0,OldTown,1Fam,1Story,5,5,1952,Gable,None,0.0,2,3,1,924.0,2,1,4,924,0,0,924,2,1,TA,6,Typ,0,NA,Detchd,Unf,1.0,420.0,TA,TA,Y,3,400,6,2007,112500,-735.1559758813237,3928.616715625103,2007.5,0,2.3089553053707177,0,0,1.0,420.0,1,0,0,1,0,0,324,0,55
1956,RL,70.0,11606,1,None,1,HLS,AllPub,Inside,2,NAmes,1Fam,2Story,5,5,1969,Gable,BrkFace,192.0,2,4,3,1040.0,2,1,4,1040,1040,0,2080,5,1,Fa,9,Typ,2,TA,Attchd,Unf,2.0,504.0,TA,TA,Y,0,0,9,2007,135000,-9771.06100712376,6058.7050982600485,2007.75,0,2.3685714285714288,0,1,2.5,252.0,0,0,0,0,0,0,335,0,38
1044,RM,21.0,1680,1,None,0,Lvl,AllPub,Inside,0,BrDale,Twnhs,2Story,6,5,1971,Gable,BrkFace,232.0,2,3,1,483.0,2,1,4,483,504,0,987,2,1,TA,4,Typ,0,NA,Detchd,Unf,1.0,264.0,TA,TA,Y,0,0,7,2008,85400,-1695.6852596413228,304.37576177940355,2008.5833333333333,0,3.8095238095238093,0,0,1.5,264.0,0,1,0,0,0,0,0,0,37
2752,RL,64.0,7488,1,None,1,Lvl,AllPub,Inside,0,CollgCr,1Fam,1Story,7,5,2005,Gable,None,0.0,2,4,3,1208.0,4,1,4,1208,0,0,1208,2,1,Gd,6,Typ,0,NA,Attchd,RFn,2.0,632.0,TA,TA,Y,0,0,2,2006,183600,-4313.612870081532,3784.92996525325,2006.1666666666667,0,1.828125,1,0,2.0,316.0,0,0,0,0,0,0,163,0,1
807,RL,120.0,26400,1,None,0,Bnk,AllPub,FR2,0,SawyerW,1Fam,2Story,5,7,1880,Gable,None,0.0,2,0,0,0.0,4,1,4,1288,728,0,2016,4,1,TA,7,Mod,1,TA,Attchd,Unf,2.0,576.0,TA,TA,P,0,0,6,2009,131000,-206.08560593161383,-1374.8638750567334,2009.5,0,1.8333333333333333,0,1,1.0,288.0,0,0,1,0,0,0,0,1,2
1177,FV,24.0,2645,1,Pave,0,Lvl,AllPub,Inside,0,Somerst,Twnhs,2Story,8,5,1999,Gable,BrkFace,456.0,2,4,1,960.0,4,1,4,962,645,0,1607,3,1,Gd,7,Typ,0,NA,Detchd,Unf,2.0,480.0,TA,TA,Y,0,0,12,2008,200000,-12907.5043506473,14502.046361345245,2009.0,0,4.592013888888889,1,0,3.5,240.0,0,1,0,0,0,0,169,1,8
